date,count
2026-04-04,0
2026-04-05,9
2026-04-06,9
2026-04-07,30
2026-04-08,29
2026-04-09,29
2026-04-10,29
2026-04-11,120
2026-04-12,136
2026-04-13,149
2026-04-14,149
2026-04-15,196
2026-04-16,238
2026-04-17,245
2026-04-18,196
2026-04-19,196
2026-04-20,196
2026-04-21,257
